TANGGAL,UNIT PEMBANGKIT,JAM NYALA,JENIS BAHAN BAKAR,"KAPASITAS STORAGE TANK
 (L)","PERSEDIAAN AWAL 
(L)",PEMAKAIAN (L),PENERIMAAN (L),PERSEDIAAN AKHIR (L),UMUR OPERASI,RENCANA PENERIMAAN (L)
01-05-2021,PLTD KRAYAN,24,B30,12000,8100,1350,2600,9350,6.925925926,1400
01-05-2021,PLTD SEI MENGGARIS,24,B30,40000,30616,1000,,29616,29.616,
01-05-2021,PLTD LONG LAYU,12,B30,10000,660,110,0,550,5,
01-05-2021,PLTD PAUPAN,12,B30,8000,500,90,0,410,4.555555556,
01-05-2021,PLTD SEKATAK BUJI,24,B30,30000,33421,2500,0,30921,12.3684,40000
01-05-2021,PLTD LONG PESO,24,B30,70000,31900,720,0,31180,43.30555556,
01-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
02-05-2021,PLTD KRAYAN,24,B30,12000,9350,1350,0,8000,5.925925926,1400
02-05-2021,PLTD SEI MENGGARIS,24,B30,40000,29616,1000,,28616,28.616,
02-05-2021,PLTD LONG LAYU,12,B30,10000,550,110,1000,1440,13.09090909,
02-05-2021,PLTD PAUPAN,12,B30,8000,410,90,1000,1320,14.66666667,
02-05-2021,PLTD SEKATAK BUJI,24,B30,30000,30921,2500,0,28421,11.3684,40000
02-05-2021,PLTD LONG PESO,24,B30,70000,31180,720,0,30460,42.30555556,
02-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
03-05-2021,PLTD KRAYAN,24,B30,12000,8000,1350,1400,8050,5.962962963,2800
03-05-2021,PLTD SEI MENGGARIS,24,B30,40000,28616,1000,,27616,27.616,
03-05-2021,PLTD LONG LAYU,12,B30,10000,1440,110,0,1330,12.09090909,
03-05-2021,PLTD PAUPAN,12,B30,8000,1320,90,0,1230,13.66666667,
03-05-2021,PLTD SEKATAK BUJI,24,B30,30000,28421,2500,0,25921,10.3684,40000
03-05-2021,PLTD LONG PESO,24,B30,70000,30460,720,0,29740,41.30555556,
03-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
04-05-2021,PLTD KRAYAN,24,B30,12000,8050,1350,2600,9300,6.888888889,
04-05-2021,PLTD SEI MENGGARIS,24,B30,40000,27616,1000,,26616,26.616,
04-05-2021,PLTD LONG LAYU,12,B30,10000,1330,110,0,1220,11.09090909,
04-05-2021,PLTD PAUPAN,12,B30,8000,1230,90,0,1140,12.66666667,
04-05-2021,PLTD SEKATAK BUJI,24,B30,30000,25921,2500,0,23421,9.3684,
04-05-2021,PLTD LONG PESO,24,B30,70000,29740,720,0,29020,40.30555556,
04-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,,
05-05-2021,PLTD KRAYAN,24,B30,12000,9300,1350,0,7950,5.888888889,
05-05-2021,PLTD SEI MENGGARIS,24,B30,40000,26616,1000,,25616,25.616,
05-05-2021,PLTD LONG LAYU,12,B30,10000,1220,110,0,1110,10.09090909,
05-05-2021,PLTD PAUPAN,12,B30,8000,1140,90,0,1050,11.66666667,
05-05-2021,PLTD SEKATAK BUJI,24,B30,30000,23421,2500,0,20921,8.3684,
05-05-2021,PLTD LONG PESO,24,B30,70000,29020,720,0,28300,39.30555556,
05-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
06-05-2021,PLTD KRAYAN,24,B30,12000,7950,1350,2600,9200,6.814814815,
06-05-2021,PLTD SEI MENGGARIS,24,B30,40000,25616,1000,,24616,24.616,
06-05-2021,PLTD LONG LAYU,12,B30,10000,1110,110,0,1000,9.090909091,
06-05-2021,PLTD PAUPAN,12,B30,8000,1050,90,0,960,10.66666667,
06-05-2021,PLTD SEKATAK BUJI,24,B30,30000,20921,2500,0,18421,7.3684,
06-05-2021,PLTD LONG PESO,24,B30,70000,28300,720,0,27580,38.30555556,
06-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
07-05-2021,PLTD KRAYAN,24,B30,12000,9200,1350,1400,9250,6.851851852,2600
07-05-2021,PLTD SEI MENGGARIS,24,B30,40000,24616,1000,,23616,23.616,
07-05-2021,PLTD LONG LAYU,12,B30,10000,1000,110,0,890,8.090909091,
07-05-2021,PLTD PAUPAN,12,B30,8000,960,90,0,870,9.666666667,
07-05-2021,PLTD SEKATAK BUJI,24,B30,30000,18421,2500,20000,35921,14.3684,40000
07-05-2021,PLTD LONG PESO,24,B30,70000,27580,720,0,26860,37.30555556,
07-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
08-05-2021,PLTD KRAYAN,24,B30,12000,9250,1350,1400,9300,6.888888889,
08-05-2021,PLTD SEI MENGGARIS,24,B30,40000,23616,1000,0,22616,22.616,
08-05-2021,PLTD LONG LAYU,12,B30,10000,890,110,0,780,7.090909091,
08-05-2021,PLTD PAUPAN,12,B30,8000,870,90,0,780,8.666666667,
08-05-2021,PLTD SEKATAK BUJI,24,B30,30000,15921,2500,0,13421,5.3684,20000
08-05-2021,PLTD LONG PESO,24,B30,70000,26860,720,0,26140,36.30555556,
08-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
09-05-2021,PLTD KRAYAN,24,B30,12000,9300,1350,0,7950,5.888888889,
09-05-2021,PLTD SEI MENGGARIS,24,B30,40000,22616,1000,0,21616,21.616,
09-05-2021,PLTD LONG LAYU,12,B30,10000,780,110,0,670,6.090909091,
09-05-2021,PLTD PAUPAN,12,B30,8000,780,90,0,690,7.666666667,
09-05-2021,PLTD SEKATAK BUJI,24,B30,30000,13421,2500,0,10921,4.3684,
09-05-2021,PLTD LONG PESO,24,B30,70000,26140,720,0,25420,35.30555556,
09-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
10-05-2021,PLTD KRAYAN,24,B30,12000,7950,1350,2800,9400,6.962962963,2800
10-05-2021,PLTD SEI MENGGARIS,24,B30,40000,21616,1000,0,20616,20.616,20000
10-05-2021,PLTD LONG LAYU,12,B30,10000,670,110,0,560,5.090909091,
10-05-2021,PLTD PAUPAN,12,B30,8000,690,90,0,600,6.666666667,
10-05-2021,PLTD SEKATAK BUJI,24,B30,30000,10921,2500,20000,28421,11.3684,80000
10-05-2021,PLTD LONG PESO,24,B30,70000,25420,720,30000,54700,75.97222222,
10-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
11-05-2021,PLTD KRAYAN,24,B30,12000,9400,1350,2800,10850,8.037037037,
11-05-2021,PLTD SEI MENGGARIS,24,B30,40000,20616,1000,15000,34616,34.616,
11-05-2021,PLTD LONG LAYU,12,B30,10000,560,110,0,450,4.090909091,
11-05-2021,PLTD PAUPAN,12,B30,8000,600,90,0,510,5.666666667,
11-05-2021,PLTD SEKATAK BUJI,24,B30,30000,28421,2500,0,25921,10.3684,10000
11-05-2021,PLTD LONG PESO,24,B30,70000,54700,720,0,53980,74.97222222,
11-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
12-05-2021,PLTD KRAYAN,24,B30,12000,10850,1350,2800,12300,9.111111111,
12-05-2021,PLTD SEI MENGGARIS,24,B30,40000,34616,1000,,33616,33.616,
12-05-2021,PLTD LONG LAYU,12,B30,10000,450,110,,340,3.090909091,
12-05-2021,PLTD PAUPAN,12,B30,8000,510,90,,420,4.666666667,
12-05-2021,PLTD SEKATAK BUJI,24,B30,30000,5921,2500,,3421,1.3684,10000
12-05-2021,PLTD LONG PESO,24,B30,70000,53980,720,,53260,73.97222222,
12-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,,53260,10,
13-05-2021,PLTD KRAYAN,24,B30,12000,12300,1350,,,0,
13-05-2021,PLTD SEI MENGGARIS,24,B30,40000,33616,1000,,,0,30000
13-05-2021,PLTD LONG LAYU,12,B30,10000,340,110,1000,,0,
13-05-2021,PLTD PAUPAN,12,B30,8000,420,90,,,0,
13-05-2021,PLTD SEKATAK BUJI,24,B30,30000,3421,2500,,,0,100000
13-05-2021,PLTD LONG PESO,24,B30,70000,53260,720,,,0,
13-05-2021,PLTD TANAH MERAH,24,B30,20000,10000,,,,10,
14-05-2021,PLTD KRAYAN,24,B30,12000,10950,1350,,9600,7.111111111,
14-05-2021,PLTD SEI MENGGARIS,24,B30,40000,32616,1000,,31616,31.616,30000
14-05-2021,PLTD LONG LAYU,12,B30,10000,1230,110,,1120,10.18181818,
14-05-2021,PLTD PAUPAN,12,B30,8000,330,90,1000,1240,13.77777778,
14-05-2021,PLTD SEKATAK BUJI,24,B30,30000,80921,2500,,78421,31.3684,100000
14-05-2021,PLTD LONG PESO,24,B30,70000,52540,720,,51820,71.97222222,
14-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
15-05-2021,PLTD KRAYAN,24,B30,12000,9600,1350,,8250,6.111111111,
15-05-2021,PLTD SEI MENGGARIS,24,B30,40000,31616,1000,,30616,30.616,30000
15-05-2021,PLTD LONG LAYU,12,B30,10000,1120,110,,1010,9.181818182,
15-05-2021,PLTD PAUPAN,12,B30,8000,1240,90,,1150,12.77777778,
15-05-2021,PLTD SEKATAK BUJI,24,B30,30000,78421,2500,,75921,30.3684,80000
15-05-2021,PLTD LONG PESO,24,B30,70000,51820,720,,51100,70.97222222,
15-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,,10000,10,
16-05-2021,PLTD KRAYAN,24,B30,12000,8250,1350,,6900,5.111111111,
16-05-2021,PLTD SEI MENGGARIS,24,B30,40000,30616,1000,,29616,29.616,30000
16-05-2021,PLTD LONG LAYU,12,B30,10000,1010,110,,900,8.181818182,
16-05-2021,PLTD PAUPAN,12,B30,8000,1150,90,,1060,11.77777778,
16-05-2021,PLTD SEKATAK BUJI,24,B30,30000,75921,2500,,73421,29.3684,80000
16-05-2021,PLTD LONG PESO,24,B30,70000,51100,720,,50380,69.97222222,
16-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,,10000,10,
17-05-2021,PLTD KRAYAN,24,B30,12000,6900,1350,2800,8350,6.185185185,
17-05-2021,PLTD SEI MENGGARIS,24,B30,40000,29616,1000,,28616,28.616,30000
17-05-2021,PLTD LONG LAYU,12,B30,10000,900,110,,790,7.181818182,
17-05-2021,PLTD PAUPAN,12,B30,8000,1060,90,,970,10.77777778,
17-05-2021,PLTD SEKATAK BUJI,24,B30,30000,73421,2500,,70921,28.3684,80000
17-05-2021,PLTD LONG PESO,24,B30,70000,50380,720,,49660,68.97222222,
17-05-2021,PLTD TANAH MERAH,24,B30,20000,10000,0,,10000,10,
18-05-2021,PLTD KRAYAN,24,B30,12000,8350,1350,2800,9800,7.259259259,
18-05-2021,PLTD SEI MENGGARIS,24,B30,40000,28616,1000,,27616,27.616,30000
18-05-2021,PLTD LONG LAYU,12,B30,10000,790,110,,680,6.181818182,
18-05-2021,PLTD PAUPAN,12,B30,8000,970,90,,880,9.777777778,
18-05-2021,PLTD SEKATAK BUJI,24,B30,30000,70921,2500,,68421,27.3684,80000
18-05-2021,PLTD LONG PESO,24,B30,70000,49660,720,,48940,67.97222222,
18-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,,10000,10,
19-05-2021,PLTD KRAYAN,24,B30,12000,9800,1350,,8450,6.259259259,
19-05-2021,PLTD SEI MENGGARIS,24,B30,40000,27616,1000,,26616,26.616,30000
19-05-2021,PLTD LONG LAYU,12,B30,10000,680,110,,570,5.181818182,
19-05-2021,PLTD PAUPAN,12,B30,8000,880,90,,790,8.777777778,
19-05-2021,PLTD SEKATAK BUJI,24,B30,30000,68421,2500,,65921,26.3684,80000
19-05-2021,PLTD LONG PESO,24,B30,70000,48940,720,,48220,66.97222222,
19-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,,10000,10,
20-05-2021,PLTD KRAYAN,24,B30,12000,8450,1350,0,7100,5.259259259,
20-05-2021,PLTD SEI MENGGARIS,24,B30,40000,26616,1000,0,25616,25.616,
20-05-2021,PLTD LONG LAYU,12,B30,10000,570,110,0,460,4.181818182,
20-05-2021,PLTD PAUPAN,12,B30,8000,790,90,0,700,7.777777778,
20-05-2021,PLTD SEKATAK BUJI,24,B30,30000,65921,2500,0,63421,25.3684,
20-05-2021,PLTD LONG PESO,24,B30,70000,48220,720,0,47500,65.97222222,
20-05-2021,PLTD TANAH MERAH,24,B30,10000,10000,0,0,10000,10,
21-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
21-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,30000
21-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
21-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
21-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,80000
21-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
21-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
22-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
22-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,30000
22-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
22-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
22-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,80000
22-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
22-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
23-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
23-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,30000
23-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
23-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
23-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,80000
23-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
23-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
24-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
24-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,20000
24-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
24-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
24-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,60000
24-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
24-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
25-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
25-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,0
25-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
25-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
25-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,60000
25-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
25-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
26-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
26-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
26-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
26-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
26-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,60000
26-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
26-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
27-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
27-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
27-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
27-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
27-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,60000
27-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
27-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
28-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
28-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
28-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
28-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
28-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,60000
28-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
28-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
29-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
29-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
29-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
29-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
29-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,40000
29-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
29-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
30-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
30-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
30-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
30-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
30-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,40000
30-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
30-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
31-05-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
31-05-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
31-05-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
31-05-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
31-05-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,40000
31-05-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
31-05-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
01-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
01-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
01-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
01-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
01-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
01-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
01-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
02-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
02-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
02-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
02-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
02-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
02-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
02-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
03-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
03-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
03-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
03-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
03-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
03-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
03-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
04-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
04-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
04-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
04-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
04-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
04-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
04-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
05-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
05-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
05-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
05-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
05-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
05-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
05-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
06-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
06-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
06-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
06-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
06-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
06-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
06-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
07-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
07-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
07-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
07-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
07-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
07-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
07-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
08-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
08-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
08-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
08-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
08-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
08-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
08-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
09-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
09-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
09-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
09-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
09-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
09-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
09-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
10-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
10-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
10-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
10-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
10-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
10-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
10-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
11-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
11-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
11-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
11-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
11-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
11-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
11-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
12-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
12-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
12-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
12-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
12-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
12-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
12-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
13-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
13-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
13-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
13-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
13-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
13-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
13-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
14-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
14-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
14-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
14-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
14-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
14-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
14-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
15-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
15-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
15-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
15-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
15-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
15-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
15-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
16-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
16-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
16-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
16-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
16-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
16-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
16-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
17-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
17-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
17-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
17-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
17-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
17-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
17-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
18-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
18-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
18-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
18-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
18-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
18-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
18-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
19-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
19-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
19-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
19-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
19-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
19-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
19-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
20-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
20-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
20-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
20-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
20-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
20-06-2021,PLTD LONG PESO,24,B30,70000,,,,0,,
20-06-2021,PLTD TANAH MERAH,24,B30,10000,,,,0,10,
21-06-2021,PLTD KRAYAN,24,B30,12000,,,,0,,
21-06-2021,PLTD SEI MENGGARIS,24,B30,40000,,,,0,,
21-06-2021,PLTD LONG LAYU,12,B30,10000,,,,0,,
21-06-2021,PLTD PAUPAN,12,B30,8000,,,,0,,
21-06-2021,PLTD SEKATAK BUJI,24,B30,30000,,,,0,,
